template,parameters,datetime,loglevel,pid
org.apache.hadoop.mapreduce.v2.app.MRAppMaster: Created MRAppMaster for application * ,,"2015-10-19 15:49:51,451",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.MRAppMaster: Executing with tokens: ,,"2015-10-19 15:49:51,826",INFO,[main]
"org.apache.hadoop.mapreduce.v2.app.MRAppMaster: Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: * cluster_timestamp: * } attemptId: 1 } keyId: * ",,"2015-10-19 15:49:51,826",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.MRAppMaster: Using mapred newApiCommitter. ,,"2015-10-19 15:49:52,107",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.MRAppMaster: OutputCommitter set in config null ,,"2015-10-19 15:49:53,514",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.MRAppMaster: OutputCommitter * ,,"2015-10-19 15:49:53,639",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-19 15:49:53,685",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-19 15:49:53,685",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-19 15:49:53,685",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-19 15:49:53,701",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-19 15:49:53,701",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-19 15:49:53,701",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-19 15:49:53,717",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-19 15:49:53,717",INFO,[main]
