template,parameters,datetime,loglevel,pid
org.apache.hadoop.mapreduce.v2.app.MRAppMaster: Created MRAppMaster for application * ,,"2015-10-17 18:09:20,829",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.MRAppMaster: Executing with tokens: ,,"2015-10-17 18:09:21,736",INFO,[main]
"org.apache.hadoop.mapreduce.v2.app.MRAppMaster: Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: * cluster_timestamp: * } attemptId: 1 } keyId: * ",,"2015-10-17 18:09:21,736",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.MRAppMaster: Using mapred newApiCommitter. ,,"2015-10-17 18:09:21,986",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.MRAppMaster: OutputCommitter set in config null ,,"2015-10-17 18:09:23,001",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.MRAppMaster: OutputCommitter * ,,"2015-10-17 18:09:23,095",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-17 18:09:23,142",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-17 18:09:23,142",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-17 18:09:23,142",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-17 18:09:23,142",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-17 18:09:23,142",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-17 18:09:23,158",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-17 18:09:23,158",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-17 18:09:23,158",INFO,[main]
org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils: Default file system [hdfs://msra-sa-41:9000] ,,"2015-10-17 18:09:23,220",INFO,[main]
org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils: Default file system [hdfs://msra-sa-41:9000] ,,"2015-10-17 18:09:23,251",INFO,[main]
org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils: Default file system [hdfs://msra-sa-41:9000] ,,"2015-10-17 18:09:23,283",INFO,[main]
org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler: Emitting job history data to the timeline server is not enabled ,,"2015-10-17 18:09:23,298",INFO,[main]
org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class * for class * ,,"2015-10-17 18:09:23,361",INFO,[main]
org.apache.hadoop.metrics2.impl.MetricsConfig: loaded properties from hadoop-metrics2.properties ,,"2015-10-17 18:09:23,704",INFO,[main]
org.apache.hadoop.metrics2.impl.MetricsSystemImpl: Scheduled snapshot period at 10 second(s). ,,"2015-10-17 18:09:23,783",INFO,[main]
org.apache.hadoop.metrics2.impl.MetricsSystemImpl: MRAppMaster metrics system started ,,"2015-10-17 18:09:23,783",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Adding job token for * to jobTokenSecretManager ,,"2015-10-17 18:09:23,783",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Not uberizing * because: not enabled; too many maps; too much input; ,,"2015-10-17 18:09:23,986",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Input size for job job_1445076437777_0001 = 1256521728. Number of splits = 10 ,,"2015-10-17 18:09:24,001",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: * for job job_1445076437777_0001 = * ,,"2015-10-17 18:09:24,017",INFO,[main]
org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: * Transitioned from * to * ,,"2015-10-17 18:09:24,017",INFO,[main]
"org.apache.hadoop.mapreduce.v2.app.MRAppMaster: MRAppMaster launching normal, non-uberized, multi-container job * ",,"2015-10-17 18:09:24,017",INFO,[main]
org.apache.hadoop.ipc.CallQueueManager: Using callQueue class java.util.concurrent.LinkedBlockingQueue ,,"2015-10-17 18:09:24,048",INFO,[main]
org.apache.hadoop.ipc.Server: Starting Socket Reader #1 for port * ,,"2015-10-17 18:09:24,064",INFO,[Socket Reader #1 for port 52829]
org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl: Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server ,,"2015-10-17 18:09:24,095",INFO,[main]
org.apache.hadoop.ipc.Server: IPC Server * starting ,,"2015-10-17 18:09:24,095",INFO,[IPC Server Responder]
org.apache.hadoop.ipc.Server: IPC Server * starting ,,"2015-10-17 18:09:24,095",INFO,[IPC Server listener on 52829]
org.apache.hadoop.mapreduce.v2.app.client.MRClientService: Instantiated MRClientService at * ,,"2015-10-17 18:09:24,095",INFO,[main]
org.mortbay.log: Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog ,,"2015-10-17 18:09:24,189",INFO,[main]
org.apache.hadoop.http.HttpRequestLog: Http request log for http.requests.mapreduce is not defined ,,"2015-10-17 18:09:24,189",INFO,[main]
